iter	Passed	Remaining
0	5	5501
1	11	5567
2	16	5397
3	21	5263
4	26	5275
5	32	5307
6	36	5214
7	41	5174
8	46	5173
9	47	4748
10	52	4712
11	57	4700
12	62	4731
13	66	4709
14	71	4685
15	77	4740
16	81	4732
17	86	4706
18	91	4722
19	96	4704
20	100	4675
21	101	4490
22	105	4501
23	110	4495
24	114	4482
25	119	4475
26	124	4500
27	129	4493
28	134	4490
29	139	4509
30	144	4511
31	149	4508
32	153	4510
33	158	4508
34	163	4514
35	168	4513
36	174	4531
37	178	4528
38	183	4523
39	188	4524
40	193	4536
41	198	4530
42	203	4535
43	208	4529
44	212	4517
45	217	4507
46	222	4512
47	227	4506
48	231	4493
49	236	4487
50	240	4475
51	244	4463
52	249	4450
53	254	4456
54	258	4447
55	263	4438
56	269	4451
57	273	4447
58	278	4437
59	282	4433
60	288	4433
61	292	4426
62	297	4422
63	302	4419
64	306	4412
65	311	4407
66	316	4408
67	321	4402
68	326	4398
69	330	4391
70	335	4388
71	336	4333
72	340	4326
73	345	4320
74	350	4328
75	355	4327
76	360	4319
77	365	4316
78	370	4316
79	374	4309
80	379	4302
81	384	4304
82	389	4300
83	393	4294
84	399	4295
85	403	4289
86	408	4283
87	413	4280
88	417	4276
89	422	4271
90	427	4269
91	432	4271
92	438	4278
93	444	4279
94	449	4283
95	455	4286
96	460	4291
97	466	4294
98	472	4300
99	477	4301
100	483	4301
101	488	4300
102	493	4298
103	498	4295
104	503	4291
105	508	4289
106	514	4292
107	520	4296
108	525	4294
109	530	4294
110	535	4287
111	539	4280
112	545	4279
113	546	4243
114	550	4239
115	555	4235
116	556	4202
117	562	4200
118	567	4200
119	572	4198
120	577	4195
121	582	4190
122	587	4186
123	591	4179
124	596	4173
125	600	4166
126	605	4158
127	609	4153
128	614	4146
129	618	4139
130	622	4132
131	627	4125
132	631	4118
133	635	4110
134	637	4082
135	641	4078
136	646	4071
137	647	4042
138	651	4035
139	656	4030
140	660	4024
141	664	4016
142	669	4009
143	673	4005
144	678	3998
145	682	3991
146	686	3984
147	691	3982
148	696	3976
149	700	3971
150	705	3965
151	709	3960
152	714	3953
153	718	3947
154	723	3942
155	727	3936
156	732	3930
157	732	3904
158	737	3898
159	741	3893
160	746	3888
161	750	3883
162	755	3879
163	756	3858
164	761	3852
165	762	3829
166	766	3824
167	771	3821
168	776	3816
169	780	3812
170	785	3807
171	790	3804
172	795	3800
173	799	3795
174	804	3791
175	808	3786
176	813	3781
177	818	3778
178	822	3774
179	827	3767
180	831	3761
181	832	3741
182	836	3736
183	841	3730
184	845	3725
185	850	3722
186	855	3717
187	859	3711
188	863	3705
189	868	3702
190	872	3696
191	877	3692
192	881	3687
193	886	3684
194	891	3679
195	895	3673
196	899	3668
197	904	3662
198	908	3657
199	912	3651
200	917	3647
201	922	3642
202	926	3637
203	927	3618
204	931	3613
205	936	3608
206	940	3604
207	945	3598
208	949	3594
209	954	3589
210	958	3584
211	962	3579
212	967	3575
213	972	3570
214	976	3565
215	981	3562
216	986	3557
217	990	3553
218	994	3547
219	999	3544
220	1003	3538
221	1008	3532
222	1012	3527
223	1016	3521
224	1020	3515
225	1024	3509
226	1029	3504
227	1033	3498
228	1037	3492
229	1041	3486
230	1045	3481
231	1049	3475
232	1054	3471
233	1058	3465
234	1062	3460
235	1067	3454
236	1071	3450
237	1075	3444
238	1080	3440
239	1084	3434
240	1088	3429
241	1092	3422
242	1097	3418
243	1101	3413
244	1105	3407
245	1109	3401
246	1114	3397
247	1118	3391
248	1122	3385
249	1126	3380
250	1130	3374
251	1134	3368
252	1139	3363
253	1143	3359
254	1148	3354
255	1152	3348
256	1156	3343
257	1160	3338
258	1164	3332
259	1169	3327
260	1173	3322
261	1178	3319
262	1182	3313
263	1186	3308
264	1190	3302
265	1195	3298
266	1199	3292
267	1203	3287
268	1208	3283
269	1212	3278
270	1216	3273
271	1220	3267
272	1225	3263
273	1231	3262
274	1236	3260
275	1240	3255
276	1245	3250
277	1249	3245
278	1253	3239
279	1257	3234
280	1262	3229
281	1266	3223
282	1270	3218
283	1274	3213
284	1278	3207
285	1282	3202
286	1287	3197
287	1291	3193
288	1296	3188
289	1300	3183
290	1304	3178
291	1308	3173
292	1312	3168
293	1317	3162
294	1321	3157
295	1325	3152
296	1329	3147
297	1333	3141
298	1338	3136
299	1342	3131
300	1346	3127
301	1350	3122
302	1355	3117
303	1359	3112
304	1363	3106
305	1367	3101
306	1371	3096
307	1376	3091
308	1380	3087
309	1384	3081
310	1389	3077
311	1393	3072
312	1397	3067
313	1401	3061
314	1406	3058
315	1411	3054
316	1415	3049
317	1419	3044
318	1424	3040
319	1428	3035
320	1432	3030
321	1437	3026
322	1441	3021
323	1445	3016
324	1449	3011
325	1454	3007
326	1458	3002
327	1463	2997
328	1467	2993
329	1472	2989
330	1476	2984
331	1480	2979
332	1485	2975
333	1490	2971
334	1494	2967
335	1499	2962
336	1503	2958
337	1508	2954
338	1512	2949
339	1517	2945
340	1521	2940
341	1526	2936
342	1530	2931
343	1534	2926
344	1539	2922
345	1543	2917
346	1547	2912
347	1552	2908
348	1556	2904
349	1561	2899
350	1565	2895
351	1570	2890
352	1574	2885
353	1578	2880
354	1583	2876
355	1587	2871
356	1592	2867
357	1596	2863
358	1601	2859
359	1605	2854
360	1609	2849
361	1614	2845
362	1618	2840
363	1623	2836
364	1627	2831
365	1632	2827
366	1636	2822
367	1640	2817
368	1644	2812
369	1649	2808
370	1653	2803
371	1658	2799
372	1663	2795
373	1667	2791
374	1671	2786
375	1675	2781
376	1680	2777
377	1685	2773
378	1689	2768
379	1693	2763
380	1698	2759
381	1702	2754
382	1706	2749
383	1711	2745
384	1716	2741
385	1720	2737
386	1725	2732
387	1730	2729
388	1735	2725
389	1740	2722
390	1745	2718
391	1750	2714
392	1754	2710
393	1759	2706
394	1764	2703
395	1769	2698
396	1774	2694
397	1779	2691
398	1784	2687
399	1788	2683
400	1793	2679
401	1798	2675
402	1803	2671
403	1808	2668
404	1813	2664
405	1818	2660
406	1823	2656
407	1828	2652
408	1832	2648
409	1837	2644
410	1843	2641
411	1847	2637
412	1852	2632
413	1856	2627
414	1861	2624
415	1866	2619
416	1870	2614
417	1874	2610
418	1879	2605
419	1883	2601
420	1888	2596
421	1892	2592
422	1897	2587
423	1901	2583
424	1906	2579
425	1910	2574
426	1915	2570
427	1919	2565
428	1924	2561
429	1928	2556
430	1933	2552
431	1937	2547
432	1942	2543
433	1946	2538
434	1950	2534
435	1955	2529
436	1960	2525
437	1964	2520
438	1968	2515
439	1973	2511
440	1977	2506
441	1981	2502
442	1986	2497
443	1991	2493
444	1995	2488
445	1999	2484
446	2004	2479
447	2008	2474
448	2012	2469
449	2016	2464
450	2021	2460
451	2025	2455
452	2029	2450
453	2033	2445
454	2037	2441
455	2042	2436
456	2046	2431
457	2050	2426
458	2055	2422
459	2059	2417
460	2063	2412
461	2067	2407
462	2071	2403
463	2076	2398
464	2080	2393
465	2084	2388
466	2088	2383
467	2092	2378
468	2096	2374
469	2101	2369
470	2105	2364
471	2109	2360
472	2113	2355
473	2118	2350
474	2122	2345
475	2126	2340
476	2130	2336
477	2135	2331
478	2139	2326
479	2143	2321
480	2147	2316
481	2151	2312
482	2155	2307
483	2159	2302
484	2164	2297
485	2168	2293
486	2172	2288
487	2176	2283
488	2181	2279
489	2185	2275
490	2190	2270
491	2194	2265
492	2198	2260
493	2202	2256
494	2206	2251
495	2211	2246
496	2215	2241
497	2219	2237
498	2224	2233
499	2228	2228
500	2233	2224
501	2237	2219
502	2241	2214
503	2245	2210
504	2250	2205
505	2254	2200
506	2258	2196
507	2262	2191
508	2267	2186
509	2271	2182
510	2275	2177
511	2279	2172
512	2284	2168
513	2288	2163
514	2292	2159
515	2297	2154
516	2301	2149
517	2305	2145
518	2309	2140
519	2314	2136
520	2318	2131
521	2322	2127
522	2327	2122
523	2331	2117
524	2335	2113
525	2339	2108
526	2343	2103
527	2348	2099
528	2352	2094
529	2357	2090
530	2361	2085
531	2365	2081
532	2370	2076
533	2374	2072
534	2378	2067
535	2383	2062
536	2387	2058
537	2391	2053
538	2395	2048
539	2399	2044
540	2404	2039
541	2408	2035
542	2413	2031
543	2417	2026
544	2422	2022
545	2426	2017
546	2431	2013
547	2435	2008
548	2439	2004
549	2444	1999
550	2448	1995
551	2452	1990
552	2457	1986
553	2461	1981
554	2466	1977
555	2470	1972
556	2474	1968
557	2479	1963
558	2483	1959
559	2488	1954
560	2492	1950
561	2497	1946
562	2501	1941
563	2505	1937
564	2510	1932
565	2515	1928
566	2519	1923
567	2523	1919
568	2528	1915
569	2532	1910
570	2537	1906
571	2541	1901
572	2546	1897
